filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image01.jpg,36641,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image02.jpg,47123,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image03.jpg,61264,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image04.jpg,47824,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image05.jpg,37047,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image06.jpg,31381,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image07.jpg,27102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image08.jpg,24257,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image09.jpg,22404,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image10.jpg,20993,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image11.jpg,19971,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image12.jpg,19074,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image13.jpg,18910,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image14.jpg,18921,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image15.jpg,18773,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
image16.jpg,18632,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":674,""y"":4,""width"":449,""height"":574}","{""name"":""Tom\n"",""type"":""tom"",""image_quality"":{""good"":true},""tom"":""""}"
